Ptero Engine session log
Started 2026-09-22 14:17:45
File    K:\Ptero-Engine\Logs\Ptero_2026-09-22_14-17-45.txt
----------------------------------------------------------------------
[14:17:45.805] [INFO ] [Log         ] Logging to disk started.
[14:17:45.805] [INFO ] [Log         ] K:\Ptero-Engine\Logs\Ptero_2026-09-22_14-17-45.txt
[14:17:45.805] [INFO ] [Renderer    ] RendererDX12_Initialize starting.
[14:17:50.092] [ERROR] [Renderer    ] Startup shader cache warmup found 4 failed shader entries. First failure: RtAO_NrdComposite.hlsl :: CSMain [cs_5_0]: DirectX 12 call failed. HRESULT: -2147467259
[14:17:50.099] [INFO ] [CVar        ] 333 cvars registered. Type 'list' in the console to see them.
[14:17:50.099] [INFO ] [Renderer    ] Renderer initialized.
[14:17:59.691] [ERROR] [Watchdog    ] Render thread has not completed frame 726 for 5.1 s. Everything above this line is what it did last.
[14:17:59.900] [ERROR] [Watchdog    ] Render thread call stack:
    #0  NtUserMsgWaitForMultipleObjectsEx
    #1  QEventDispatcherWin32::processEvents
    #2  QWindowsGuiEventDispatcher::processEvents
    #3  QEventLoop::exec
    #4  QDialog::exec
    #5  QtUi::fileDialog  (QtUi.cpp:957)
    #6  QtUi::OpenFileName  (QtUi.cpp:985)
    #7  `anonymous namespace'::PromptForSceneOpenPath  (Editor.cpp:82)
    #8  Editor::OpenScene  (Editor.cpp:1018)
    #9  RenderEditorMainMenu  (EditorMainMenu.cpp:1446)
    #10  RendererDX12_Render  (DX12RendererAPI.cpp:1908)
    #11  wWinMain  (EditorMain.cpp:284)
    #12  __scrt_common_main_seh  (exe_common.inl:288)
    #13  BaseThreadInitThunk
    #14  RtlUserThreadStart
[14:18:00.986] [DEBUG] [Renderer    ] Attempting mesh load for entity='Table', meshPath='Geometry/MET_Table/Meshes/SM_MET_Table_c0_LOD0.fbx.ptero', materialPath='Geometry/MET_Table/M_MET_Table.json'
[14:18:01.000] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Table', vertices=54401, indices=312513, subMeshes=1
[14:18:01.000] [DEBUG] [Renderer    ] Attempting mesh load for entity='Geometry_4', meshPath='Geometry/CS1_Cup/Meshes/SM_CS1_Cup_01_c0_LOD0.fbx.ptero', materialPath='Geometry/CS1_Cup/M_CS1_Cup.json'
[14:18:01.001] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Geometry_4', vertices=2522, indices=10590, subMeshes=1
[14:18:01.001] [DEBUG] [Renderer    ] Attempting mesh load for entity='Geometry_4', meshPath='Geometry/CS1_Cup/Meshes/SM_CS1_Cup_01_c0_LOD0.fbx.ptero', materialPath='Geometry/CS1_Cup/M_CS1_Cup.json'
[14:18:01.001] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Geometry_4', vertices=2522, indices=10590, subMeshes=1
[14:18:01.001] [DEBUG] [Renderer    ] Attempting mesh load for entity='Geometry_5', meshPath='Geometry/Modular/sm_Wall_1_1.fbx.ptero', materialPath='Materials/M_rock_wall_17.json'
[14:18:01.001] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Geometry_5', vertices=148, indices=456, subMeshes=2
[14:18:01.001] [DEBUG] [Renderer    ] Attempting mesh load for entity='Geometry_5', meshPath='Geometry/Modular/sm_Wall_1_1.fbx.ptero', materialPath='Materials/M_rock_wall_17.json'
[14:18:01.002] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Geometry_5', vertices=148, indices=456, subMeshes=2
[14:18:01.002] [DEBUG] [Renderer    ] Attempting mesh load for entity='Geometry_22', meshPath='Geometry/MVV_LogPile/Meshes/SM_MVV_LogPile_c0_LOD0.fbx.ptero', materialPath='Geometry/MVV_LogPile/M_MVV_LogPile.json'
[14:18:01.065] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Geometry_22', vertices=255793, indices=1504374, subMeshes=1
[14:18:01.151] [INFO ] [Meshes      ] Entity constant buffer grown to 22 slots x 3 frames (16896 bytes).
[14:18:01.151] [INFO ] [Meshes      ] Material constant buffer grown to 72 draws x 3 frames.
[14:18:01.152] [DEBUG] [Meshes      ] Retiring mesh vertex staging buffer at GPU VA 0x17ec0000..0x18009af0 (1350384 bytes), releasing in 4 frames (frame 727).
[14:18:01.153] [DEBUG] [Meshes      ] Retiring mesh index staging buffer at GPU VA 0x18010000..0x180a897c (625020 bytes), releasing in 4 frames (frame 727).
[14:18:01.153] [DEBUG] [Meshes      ] Uploaded GPU mesh for entityIndex=0, lodIndex=1, vertexCount=28133, indexCount=156255, vbBytes=1350384, ibBytes=625020
[14:18:01.153] [DEBUG] [Meshes      ] First draw for entityIndex=0, entity='Table', lodIndex=1, vertexCount=28133, indexCount=156255, materialPath='Geometry/MET_Table/M_MET_Table.json', subMeshCount=1, draw[0]={materialId=0,indexStart=0,indexCount=156255}, summedSubMeshIndices=156255, validSubMeshRanges=true
[14:18:01.197] [DEBUG] [Meshes      ] Retiring mesh vertex staging buffer at GPU VA 0x1b6f0000..0x1b70d8e0 (121056 bytes), releasing in 4 frames (frame 727).
[14:18:01.198] [DEBUG] [Meshes      ] Retiring mesh index staging buffer at GPU VA 0x180b0000..0x180ba578 (42360 bytes), releasing in 4 frames (frame 727).
[14:18:01.198] [DEBUG] [Meshes      ] Uploaded GPU mesh for entityIndex=1, lodIndex=0, vertexCount=2522, indexCount=10590, vbBytes=121056, ibBytes=42360
[14:18:01.198] [DEBUG] [Meshes      ] First draw for entityIndex=1, entity='Geometry_4', lodIndex=0, vertexCount=2522, indexCount=10590, materialPath='Geometry/CS1_Cup/M_CS1_Cup.json', subMeshCount=1, draw[0]={materialId=0,indexStart=0,indexCount=10590}, summedSubMeshIndices=10590, validSubMeshRanges=true
[14:18:01.219] [DEBUG] [Meshes      ] Retiring mesh vertex staging buffer at GPU VA 0xeed0000..0xeee22d0 (74448 bytes), releasing in 4 frames (frame 727).
[14:18:01.219] [DEBUG] [Meshes      ] Retiring mesh index staging buffer at GPU VA 0x1b716000..0x1b71b2bc (21180 bytes), releasing in 4 frames (frame 727).
[14:18:01.219] [DEBUG] [Meshes      ] Uploaded GPU mesh for entityIndex=2, lodIndex=1, vertexCount=1551, indexCount=5295, vbBytes=74448, ibBytes=21180
[14:18:01.219] [DEBUG] [Meshes      ] First draw for entityIndex=2, entity='Geometry_4', lodIndex=1, vertexCount=1551, indexCount=5295, materialPath='Geometry/CS1_Cup/M_CS1_Cup.json', subMeshCount=1, draw[0]={materialId=0,indexStart=0,indexCount=5295}, summedSubMeshIndices=5295, validSubMeshRanges=true
[14:18:01.220] [DEBUG] [Meshes      ] Retiring mesh vertex staging buffer at GPU VA 0x2e447d000..0x2e447ebc0 (7104 bytes), releasing in 4 frames (frame 727).
[14:18:01.221] [DEBUG] [Meshes      ] Retiring mesh index staging buffer at GPU VA 0x1fffb000..0x1fffb720 (1824 bytes), releasing in 4 frames (frame 727).
[14:18:01.221] [DEBUG] [Meshes      ] Uploaded GPU mesh for entityIndex=3, lodIndex=0, vertexCount=148, indexCount=456, vbBytes=7104, ibBytes=1824
[14:18:01.221] [DEBUG] [Meshes      ] First draw for entityIndex=3, entity='Geometry_5', lodIndex=0, vertexCount=148, indexCount=456, materialPath='Materials/M_rock_wall_17.json', subMeshCount=2, draw[0]={materialId=0,indexStart=0,indexCount=228}, draw[1]={materialId=1,indexStart=228,indexCount=228}, summedSubMeshIndices=456, validSubMeshRanges=true
[14:18:01.280] [DEBUG] [Meshes      ] First draw for entityIndex=4, entity='Geometry_5', lodIndex=0, vertexCount=148, indexCount=456, materialPath='Materials/M_rock_wall_17.json', subMeshCount=2, draw[0]={materialId=0,indexStart=0,indexCount=228}, draw[1]={materialId=1,indexStart=228,indexCount=228}, summedSubMeshIndices=456, validSubMeshRanges=true
[14:18:01.281] [DEBUG] [Meshes      ] Retiring mesh vertex staging buffer at GPU VA 0xf06ff0000..0xf075d37a0 (6174624 bytes), releasing in 4 frames (frame 727).
[14:18:01.283] [DEBUG] [Meshes      ] Retiring mesh index staging buffer at GPU VA 0x19600000..0x198de8e0 (3008736 bytes), releasing in 4 frames (frame 727).
[14:18:01.283] [DEBUG] [Meshes      ] Uploaded GPU mesh for entityIndex=6, lodIndex=1, vertexCount=128638, indexCount=752184, vbBytes=6174624, ibBytes=3008736
