Ptero Engine session log
Started 2026-09-20 17:33:42
File    K:\Ptero-Engine\Logs\Ptero_2026-09-20_17-33-42.txt
----------------------------------------------------------------------
[17:33:42.706] [INFO ] [Log         ] Logging to disk started.
[17:33:42.706] [INFO ] [Log         ] K:\Ptero-Engine\Logs\Ptero_2026-09-20_17-33-42.txt
[17:33:42.706] [INFO ] [Renderer    ] RendererDX12_Initialize starting.
[17:33:48.078] [ERROR] [Renderer    ] Startup shader cache warmup found 4 failed shader entries. First failure: RtAO_NrdComposite.hlsl :: CSMain [cs_5_0]: DirectX 12 call failed. HRESULT: -2147467259
[17:33:48.086] [INFO ] [CVar        ] 333 cvars registered. Type 'list' in the console to see them.
[17:33:48.086] [INFO ] [Renderer    ] Renderer initialized.
[17:34:29.561] [ERROR] [Watchdog    ] Render thread has not completed frame 5726 for 5.1 s. Everything above this line is what it did last.
[17:34:33.121] [WARN ] [Watchdog    ] Render thread recovered after 8.6 s; resumed at frame 5727.
[17:34:44.835] [ERROR] [Watchdog    ] Render thread has not completed frame 6196 for 5.1 s. Everything above this line is what it did last.
[17:34:48.549] [DEBUG] [Renderer    ] Attempting mesh load for entity='Geometry_1', meshPath='Geometry/Modular/sm_Floor_1_1.fbx.ptero', materialPath='Materials/Floor_Planks.json'
[17:34:48.550] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Geometry_1', vertices=306, indices=1152, subMeshes=2
[17:34:48.550] [DEBUG] [Renderer    ] Attempting mesh load for entity='Table', meshPath='Geometry/MET_Table/Meshes/SM_MET_Table_c0_LOD0.fbx.ptero', materialPath='Geometry/MET_Table/M_MET_Table.json'
[17:34:48.562] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Table', vertices=54401, indices=312513, subMeshes=1
[17:34:48.562] [DEBUG] [Renderer    ] Attempting mesh load for entity='Geometry_1', meshPath='Geometry/Modular/sm_Floor_1_1.fbx.ptero', materialPath='Materials/Floor_Planks.json'
[17:34:48.562] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Geometry_1', vertices=306, indices=1152, subMeshes=2
[17:34:48.562] [DEBUG] [Renderer    ] Attempting mesh load for entity='Geometry_1', meshPath='Geometry/Modular/sm_Floor_1_1.fbx.ptero', materialPath='Materials/Floor_Planks.json'
[17:34:48.563] [DEBUG] [Renderer    ] Mesh load succeeded for entity='Geometry_1', vertices=306, indices=1152, subMeshes=2
